trade_date,underlying_code,direction,entry_time,contract_id,dte,delta,iv_rank_252,implied_volatility,signal_strength,position_pct,entry_mid,entry_fill,exit_reason,exit_legs,exit_fills,contracts,premium,fee,gross_pnl,net_pnl,return_on_premium,daily_pnl_after,capital_before,capital_after,skipped,skip_reason
2024-09-20,588000,put,2024-09-20 10:00:00,588000P2410M00700,33,-0.628,0.1709006928406467,0.265,strong_position_scaled,0.5,0.0371,0.037200000000000004,eod,1.0@0.032900,134@0.032800,134,49848.00000000001,536.0,-5896.000000000015,-6432.000000000015,-0.1290322580645164,-6432.000000000015,100000.0,93567.99999999999,False,
2025-02-21,588000,call,2025-02-21 10:30:00,588000C2503M01150,33,0.555,0.0922276956759715,0.331,strong_daily_volume_reduced_upper_shadow_position_scaled,0.175,0.0266,0.026699999999999998,trail_20%,0.333333@0.039900;0.666667@0.043680,20@0.039800;41@0.043580,61,16286.999999999998,244.0,9540.800000000001,9296.800000000001,0.5708110763185363,9296.800000000001,93567.99999999999,102864.79999999999,False,
2025-04-07,588000,put,2025-04-07 09:46:00,588000P2504M01000,16,-0.534,0.3059660645867542,0.818,strong_position_scaled_high_iv_crash_put,0.25,0.0349,0.035,trail_35%,0.333333@0.052350;0.666667@0.048750,24@0.052250;49@0.048650,73,25550.0,292.0,10828.5,10536.5,0.41238747553816046,10536.5,102864.79999999999,113401.29999999999,False,
2025-04-07,588000,put,2025-04-07 13:15:00,588000P2504M01000,16,-0.534,0.3059660645867542,0.818,strong_position_scaled_high_iv_crash_put,0.25,0.0545,0.0546,trail_20%,0.333333@0.081750;0.666667@0.143920,17@0.081650;34@0.143820,51,27846.000000000004,204.0,34933.29999999999,34729.29999999999,1.2471916971916965,45265.79999999999,113401.29999999999,148130.59999999998,False,
2025-07-25,588000,call,2025-07-25 14:15:00,588000C2508M01100,33,0.572,0.0299039780521261,0.252,strong_cluster_position_scaled,0.25,0.0336,0.0337,eod,1.0@0.039800,109@0.039700,109,36733.0,436.0,6540.0,6104.0,0.1661721068249258,6104.0,148130.59999999998,154234.59999999998,False,
2025-07-29,588000,call,2025-07-29 10:15:00,588000C2508M01100,29,0.648,0.0345679012345678,0.256,strong_position_scaled,0.5,0.044,0.0441,eod,1.0@0.047900,174@0.047800,174,76734.0,696.0,6438.0,5742.0,0.07482993197278912,5742.0,154234.59999999998,159976.59999999998,False,
2025-08-20,588000,call,2025-08-20 09:41:00,588000C2509M01250,35,0.413,0.0853223593964334,0.366,normal,0.325,0.0261,0.0262,tp1_eod,0.5@0.035235;0.5@0.038300,99@0.035135;99@0.038200,198,51876.0,792.0,20725.649999999994,19933.649999999994,0.38425572519083956,19933.649999999994,159976.59999999998,179910.24999999997,False,
2025-08-22,588000,call,2025-08-22 09:40:00,588000C2509M01400,33,0.383,0.1401920438957475,0.484,normal,0.5,0.01524,0.01534,tp2,0.5@0.020574;0.5@0.027432,293@0.020474;293@0.027332,586,89892.40000000001,2344.0,50179.18000000001,47835.18000000001,0.5321382007822686,47835.18000000001,179910.24999999997,227745.43,False,
2025-09-24,588000,call,2025-09-24 09:42:00,588000C2510M01550,28,0.482,0.134156378600823,0.39,strong,0.7,0.047475,0.047575000000000006,eod,1.0@0.057600,335@0.057500,335,159376.25000000003,1340.0,33248.74999999997,31908.74999999997,0.2002101944298474,31908.74999999997,227745.43,259654.17999999996,False,
2025-10-09,588000,call,2025-10-09 09:40:00,588000C2510M01600,13,0.581,0.1138545953360768,0.385,normal_daily_volume_reduced,0.35,0.062095,0.062195,tp1_eod,0.5@0.083828;0.5@0.055900,73@0.083728;73@0.055800,146,90804.7,584.0,11050.73999999999,10466.73999999999,0.11526650052254994,10466.73999999999,259654.17999999996,270120.9199999999,False,
